"","Date","Location","Team","Points","Game_Number","Total_points","Cumulative_points"
"19",2016-08-15,"Home","Chelsea",3,1,93,3
"35",2016-08-20,"Away","Chelsea",3,2,93,6
"41",2016-08-27,"Home","Chelsea",3,3,93,9
"78",2016-09-11,"Away","Chelsea",1,4,93,10
"81",2016-09-16,"Home","Chelsea",0,5,93,10
"109",2016-09-24,"Away","Chelsea",0,6,93,10
"128",2016-10-01,"Away","Chelsea",3,7,93,13
"143",2016-10-15,"Home","Chelsea",3,8,93,16
"177",2016-10-23,"Home","Chelsea",3,9,93,19
"198",2016-10-30,"Away","Chelsea",3,10,93,22
"203",2016-11-05,"Home","Chelsea",3,11,93,25
"238",2016-11-20,"Away","Chelsea",3,12,93,28
"242",2016-11-26,"Home","Chelsea",3,13,93,31
"269",2016-12-03,"Away","Chelsea",3,14,93,34
"293",2016-12-11,"Home","Chelsea",3,15,93,37
"317",2016-12-14,"Away","Chelsea",3,16,93,40
"327",2016-12-17,"Away","Chelsea",3,17,93,43
"343",2016-12-26,"Home","Chelsea",3,18,93,46
"364",2016-12-31,"Home","Chelsea",3,19,93,49
"400",2017-01-04,"Away","Chelsea",0,20,93,49
"411",2017-01-14,"Away","Chelsea",3,21,93,52
"436",2017-01-22,"Home","Chelsea",3,22,93,55
"451",2017-01-31,"Away","Chelsea",1,23,93,56
"461",2017-02-04,"Home","Chelsea",3,24,93,59
"497",2017-02-12,"Away","Chelsea",1,25,93,60
"501",2017-02-25,"Home","Chelsea",3,26,93,63
"536",2017-03-06,"Away","Chelsea",3,27,93,66
"557",2017-03-18,"Away","Chelsea",3,28,93,69
"568",2017-04-01,"Home","Chelsea",0,29,93,69
"596",2017-04-05,"Home","Chelsea",3,30,93,72
"614",2017-04-08,"Away","Chelsea",3,31,93,75
"643",2017-04-16,"Away","Chelsea",0,32,93,75
"659",2017-04-25,"Home","Chelsea",3,33,93,78
"683",2017-04-30,"Away","Chelsea",3,34,93,81
"707",2017-05-08,"Home","Chelsea",3,35,93,84
"714",2017-05-12,"Away","Chelsea",3,36,93,87
"731",2017-05-15,"Home","Chelsea",3,37,93,90
"743",2017-05-21,"Home","Chelsea",3,38,93,93
"10",2016-08-13,"Away","Tottenham",1,1,86,1
"27",2016-08-20,"Home","Tottenham",3,2,86,4
"47",2016-08-27,"Home","Tottenham",1,3,86,5
"75",2016-09-10,"Away","Tottenham",3,4,86,8
"95",2016-09-18,"Home","Tottenham",3,5,86,11
"113",2016-09-24,"Away","Tottenham",3,6,86,14
"136",2016-10-02,"Home","Tottenham",3,7,86,17
"154",2016-10-15,"Away","Tottenham",1,8,86,18
"170",2016-10-22,"Away","Tottenham",1,9,86,19
"185",2016-10-29,"Home","Tottenham",1,10,86,20
"216",2016-11-06,"Away","Tottenham",1,11,86,21
"227",2016-11-19,"Home","Tottenham",3,12,86,24
"248",2016-11-26,"Away","Tottenham",0,13,86,24
"265",2016-12-03,"Home","Tottenham",3,14,86,27
"299",2016-12-11,"Away","Tottenham",0,15,86,27
"310",2016-12-14,"Home","Tottenham",3,16,86,30
"335",2016-12-18,"Home","Tottenham",3,17,86,33
"360",2016-12-28,"Away","Tottenham",3,18,86,36
"380",2017-01-01,"Away","Tottenham",3,19,86,39
"399",2017-01-04,"Home","Tottenham",3,20,86,42
"406",2017-01-14,"Home","Tottenham",3,21,86,45
"431",2017-01-21,"Away","Tottenham",1,22,86,46
"453",2017-01-31,"Away","Tottenham",1,23,86,47
"466",2017-02-04,"Home","Tottenham",3,24,86,50
"489",2017-02-11,"Away","Tottenham",0,25,86,50
"513",2017-02-26,"Home","Tottenham",3,26,86,53
"532",2017-03-05,"Home","Tottenham",3,27,86,56
"563",2017-03-19,"Home","Tottenham",3,28,86,59
"575",2017-04-01,"Away","Tottenham",3,29,86,62
"606",2017-04-05,"Away","Tottenham",3,30,86,65
"611",2017-04-08,"Home","Tottenham",3,31,86,68
"632",2017-04-15,"Home","Tottenham",3,32,86,71
"665",2017-04-26,"Away","Tottenham",3,33,86,74
"682",2017-04-30,"Home","Tottenham",3,34,86,77
"690",2017-05-05,"Away","Tottenham",0,35,86,77
"726",2017-05-14,"Home","Tottenham",3,36,86,80
"740",2017-05-18,"Away","Tottenham",3,37,86,83
