"","Date","HomeTeam","AwayTeam","FTHG","FTAG","Stadium name","Capacity","Latitude","Longitude"
"1","14/08/2016","Arsenal","Liverpool",3,4,"Emirates Stadium","60,361",51.5549,-0.108436
"2","10/9/2016","Arsenal","Southampton",2,1,"Emirates Stadium","60,361",51.5549,-0.108436
"3","24/09/2016","Arsenal","Chelsea",3,0,"Emirates Stadium","60,361",51.5549,-0.108436
"4","15/10/2016","Arsenal","Swansea",3,2,"Emirates Stadium","60,361",51.5549,-0.108436
"5","22/10/2016","Arsenal","Middlesbrough",0,0,"Emirates Stadium","60,361",51.5549,-0.108436
"6","6/11/2016","Arsenal","Tottenham",1,1,"Emirates Stadium","60,361",51.5549,-0.108436
"7","27/11/2016","Arsenal","Bournemouth",3,1,"Emirates Stadium","60,361",51.5549,-0.108436
"8","10/12/2016","Arsenal","Stoke",3,1,"Emirates Stadium","60,361",51.5549,-0.108436
"9","26/12/2016","Arsenal","West Brom",1,0,"Emirates Stadium","60,361",51.5549,-0.108436
"10","1/1/2017","Arsenal","Crystal Palace",2,0,"Emirates Stadium","60,361",51.5549,-0.108436
"11","22/01/2017","Arsenal","Burnley",2,1,"Emirates Stadium","60,361",51.5549,-0.108436
"12","31/01/2017","Arsenal","Watford",1,2,"Emirates Stadium","60,361",51.5549,-0.108436
"13","11/2/2017","Arsenal","Hull",2,0,"Emirates Stadium","60,361",51.5549,-0.108436
"14","2/4/2017","Arsenal","Man City",2,2,"Emirates Stadium","60,361",51.5549,-0.108436
"15","5/4/2017","Arsenal","West Ham",3,0,"Emirates Stadium","60,361",51.5549,-0.108436
"16","26/04/2017","Arsenal","Leicester",1,0,"Emirates Stadium","60,361",51.5549,-0.108436
"17","7/5/2017","Arsenal","Man United",2,0,"Emirates Stadium","60,361",51.5549,-0.108436
"18","16/05/2017","Arsenal","Sunderland",2,0,"Emirates Stadium","60,361",51.5549,-0.108436
"19","21/05/2017","Arsenal","Everton",3,1,"Emirates Stadium","60,361",51.5549,-0.108436
"20","14/08/2016","Bournemouth","Man United",1,3,"Seward Stadium","10,700",50.7352,-1.83839
"21","10/9/2016","Bournemouth","West Brom",1,0,"Seward Stadium","10,700",50.7352,-1.83839
"22","24/09/2016","Bournemouth","Everton",1,0,"Seward Stadium","10,700",50.7352,-1.83839
"23","15/10/2016","Bournemouth","Hull",6,1,"Seward Stadium","10,700",50.7352,-1.83839
"24","22/10/2016","Bournemouth","Tottenham",0,0,"Seward Stadium","10,700",50.7352,-1.83839
"25","5/11/2016","Bournemouth","Sunderland",1,2,"Seward Stadium","10,700",50.7352,-1.83839
"26","4/12/2016","Bournemouth","Liverpool",4,3,"Seward Stadium","10,700",50.7352,-1.83839
"27","13/12/2016","Bournemouth","Leicester",1,0,"Seward Stadium","10,700",50.7352,-1.83839
"28","18/12/2016","Bournemouth","Southampton",1,3,"Seward Stadium","10,700",50.7352,-1.83839
"29","3/1/2017","Bournemouth","Arsenal",3,3,"Seward Stadium","10,700",50.7352,-1.83839
"30","21/01/2017","Bournemouth","Watford",2,2,"Seward Stadium","10,700",50.7352,-1.83839
"31","31/01/2017","Bournemouth","Crystal Palace",0,2,"Seward Stadium","10,700",50.7352,-1.83839
"32","13/02/2017","Bournemouth","Man City",0,2,"Seward Stadium","10,700",50.7352,-1.83839
"33","11/3/2017","Bournemouth","West Ham",3,2,"Seward Stadium","10,700",50.7352,-1.83839
"34","18/03/2017","Bournemouth","Swansea",2,0,"Seward Stadium","10,700",50.7352,-1.83839
"35","8/4/2017","Bournemouth","Chelsea",1,3,"Seward Stadium","10,700",50.7352,-1.83839
"36","22/04/2017","Bournemouth","Middlesbrough",4,0,"Seward Stadium","10,700",50.7352,-1.83839
"37","6/5/2017","Bournemouth","Stoke",2,2,"Seward Stadium","10,700",50.7352,-1.83839
"38","13/05/2017","Bournemouth","Burnley",2,1,"Seward Stadium","10,700",50.7352,-1.83839
"39","13/08/2016","Burnley","Swansea",0,1,"Turf Moor","22,546",53.7888,-2.23018
"40","20/08/2016","Burnley","Liverpool",2,0,"Turf Moor","22,546",53.7888,-2.23018
"41","10/9/2016","Burnley","Hull",1,1,"Turf Moor","22,546",53.7888,-2.23018
"42","26/09/2016","Burnley","Watford",2,0,"Turf Moor","22,546",53.7888,-2.23018
"43","2/10/2016","Burnley","Arsenal",0,1,"Turf Moor","22,546",53.7888,-2.23018
"44","22/10/2016","Burnley","Everton",2,1,"Turf Moor","22,546",53.7888,-2.23018
"45","5/11/2016","Burnley","Crystal Palace",3,2,"Turf Moor","22,546",53.7888,-2.23018
"46","26/11/2016","Burnley","Man City",1,2,"Turf Moor","22,546",53.7888,-2.23018
"47","10/12/2016","Burnley","Bournemouth",3,2,"Turf Moor","22,546",53.7888,-2.23018
